"cd_sig";"code_10km";"cd_nom";"lb_nom";"annee";"nombre de données dans la maille";"fournisseurs des données";"wkt_geom_4326"
"10kmL93E021N684";"E021N684";60630;"Lutra lutra";2004;7;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.63738203537355 48.4748071219561,-3.64876082011372 48.5644467185413,-3.51369289706322 48.5719353963623,-3.5025431517675 48.4822835448581,-3.63738203537355 48.4748071219561)))"
"10kmL93E021N686";"E021N686";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.66017859353238 48.6540787302999,-3.67163555588186 48.7437029253667,-3.53610722849246 48.7512161818302,-3.52488085718721 48.6615796859443,-3.66017859353238 48.6540787302999)))"
"10kmL93E022N677";"E022N677";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.42554873335071 47.8545282505594,-3.43643636216641 47.9442265734517,-3.30291880265828 47.9514782649238,-3.29225508937024 47.8617680909451,-3.42554873335071 47.8545282505594)))"
"10kmL93E022N679";"E022N679";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.44736086804011 48.0339189476275,-3.45832243822655 48.1236051436214,-3.32435479836135 48.1308806028813,-3.31361864448159 48.0411825120294,-3.44736086804011 48.0339189476275)))"
"10kmL93E022N680";"E022N680";60630;"Lutra lutra";2004;3;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.45832243822655 48.1236051436214,-3.46932126124755 48.2132849316356,-3.33512744906112 48.2205723077675,-3.32435479836135 48.1308806028813,-3.45832243822655 48.1236051436214)))"
"10kmL93E022N681";"E022N681";60630;"Lutra lutra";2004;1;;"MULTIPOLYGON(((-3.46932126124755 48.2132849316356,-3.48035752690266 48.302958081541,-3.34593678259737 48.3102573966452,-3.33512744906112 48.2205723077675,-3.46932126124755 48.2132849316356)))"
"10kmL93E022N682";"E022N682";60630;"Lutra lutra";2004;1;;"MULTIPOLYGON(((-3.48035752690266 48.302958081541,-3.49143142628007 48.3926243628783,-3.35678298625005 48.3999356391418,-3.34593678259737 48.3102573966452,-3.48035752690266 48.302958081541)))"
"10kmL93E022N683";"E022N683";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.49143142628007 48.3926243628783,-3.5025431517675 48.4822835448581,-3.36766624857335 48.4896068045556,-3.35678298625005 48.3999356391418,-3.49143142628007 48.3926243628783)))"
"10kmL93E022N684";"E022N684";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.5025431517675 48.4822835448581,-3.51369289706322 48.5719353963623,-3.3785867594065 48.5792706618567,-3.36766624857335 48.4896068045556,-3.5025431517675 48.4822835448581)))"
"10kmL93E022N685";"E022N685";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.51369289706322 48.5719353963623,-3.52488085718721 48.6615796859443,-3.38954470988472 48.6689269796875,-3.3785867594065 48.5792706618567,-3.51369289706322 48.5719353963623)))"
"10kmL93E022N686";"E022N686";60630;"Lutra lutra";2004;7;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.52488085718721 48.6615796859443,-3.53610722849246 48.7512161818302,-3.40054029245032 48.7585755263636,-3.38954470988472 48.6689269796875,-3.52488085718721 48.6615796859443)))"
"10kmL93E023N680";"E023N680";60630;"Lutra lutra";2004;6;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.32435479836135 48.1308806028813,-3.33512744906112 48.2205723077675,-3.20089695424881 48.2277072044284,-3.19035066188493 48.1380038302143,-3.32435479836135 48.1308806028813)))"
"10kmL93E023N681";"E023N681";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.33512744906112 48.2205723077675,-3.34593678259737 48.3102573966452,-3.21147916838802 48.3174039842872,-3.20089695424881 48.2277072044284,-3.33512744906112 48.2205723077675)))"
"10kmL93E023N682";"E023N682";60630;"Lutra lutra";2004;4;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.34593678259737 48.3102573966452,-3.35678298625005 48.3999356391418,-3.22209748776358 48.4070939395033,-3.21147916838802 48.3174039842872,-3.34593678259737 48.3102573966452)))"
